Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
500002,,ABB,ABB INDIA LIMITED,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity
500003,,AEGISLOG,AEGIS LOGISTICS LTD,Active,A ,1.0,INE208C01025,Oil Marketing & Distribution,Equity
500008,,AMARAJABAT,AMARA RAJA BATTERIES LTD,Active,A ,1.0,INE885A01032,Auto Parts & Equipment,Equity
500009,,AMBALALSA,AMBALAL SARABHAI ENTERPRISES LTD,Active,X ,10.0,INE432A01017,Pharmaceuticals,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORPLTD,Active,A ,2.0,INE001A01036,Housing Finance ,Equity
500012,,ANDHRAPET,ANDHRA PETROCHEMICALS LTD,Active,X ,10.0,INE714B01016,Commodity Chemicals,Equity
500013,,ANSALAPI,ANSAL PROPERTIES  INFRASTRUCTURE LTD,Active,B ,5.0,INE436A01026,Realty,Equity
500014,,UTIQUE,UTIQUE ENTERPRISES LTD,Active,X ,10.0,INE096A01010,Finance (including NBFCs),Equity
500016,,ARUNAHTEL,ARUNA HOTELS LTD,Active,XT,10.0,INE957C01019,Hotels,Equity
500020,,BOMDYEING,BOMBAY DYEING  MFGCOLTD,Active,A ,2.0,INE032A01023,Textiles,Equity
500023,,ASIANHOTNR,ASIAN HOTELS NORTH LIMITED,Active,B ,10.0,INE363A01022,Hotels,Equity
500027,,ATUL,ATUL LTD,Active,A ,10.0,INE100A01010,Specialty Chemicals,Equity
500028,,ATVPR,ATV PROJECTS INDIA LTD,Active,XT,10.0,INE447A01015,Construction & Engineering,Equity
500029,,AUTOLITIND,AUTOLITE INDIA LTD,Active,Z ,10.0,INE448A01013,Auto Parts & Equipment,Equity
500031,,BAJAJELEC,BAJAJ ELECTRICALS LTD,Active,A ,2.0,INE193E01025,Household Appliances,Equity
500032,,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED,Active,A ,1.0,INE306A01021,Sugar,Equity
500033,,FORCEMOT,FORCE MOTORS LTD,Active,A ,10.0,INE451A01017,Cars & Utility Vehicles,Equity
500034,,BAJFINANCE,BAJAJ FINANCE LIMITED,Active,A ,2.0,INE296A01024,Finance (including NBFCs),Equity
500038,,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,Active,A ,1.0,INE119A01028,Sugar,Equity
500039,,BANCOINDIA,BANCO PRODUCTS INDIA LTD,Active,B ,2.0,INE213C01025,Auto Parts & Equipment,Equity
500040,,CENTURYTEX,CENTURY TEXTILES  INDUSTRIES LTD,Active,A ,10.0,INE055A01016,Paper & Paper Products,Equity
500041,,BANARISUG,BANNARI AMMAN SUGARS LTD,Active,A ,10.0,INE459A01010,Sugar,Equity
500042,,BASF,BASF INDIA LTD,Active,A ,10.0,INE373A01013,Specialty Chemicals,Equity
500043,,BATAINDIA,BATA INDIA LTD,Active,A ,5.0,INE176A01028,Footwear,Equity
500048,,BEML,BEML LTD,Active,A ,10.0,INE258A01016,Commercial Vehicles,Equity
500049,,BEL,BHARAT ELECTRONICS LTD,Active,A ,1.0,INE263A01024,Defence,Equity
500052,,BEPL,BHANSALI ENGINEERING POLYMERS LTD,Active,A ,1.0,INE922A01025,Specialty Chemicals,Equity
500055,,TATASTLBSL,TATA STEEL BSL LTD,Active,B ,2.0,INE824B01021,Iron & Steel/Interm.Products,Equity
500060,,BIRLACABLE,BIRLA CABLE LTD,Active,B ,10.0,INE800A01015,Other Elect.Equip./ Prod.,Equity
500067,,BLUESTARCO,BLUE STAR LTD,Active,A ,2.0,INE472A01039,Consumer Electronics,Equity
500068,,DISAQ,DISA INDIA LTD,Active,X ,10.0,INE131C01011,Industrial Machinery,Equity
500069,,BNKCAP,BNK CAPITAL MARKETS LTD,Active,X ,10.0,INE418C01012,Other Financial Services,Equity
500074,,BPL,BPL LTD,Active,B ,10.0,INE110A01019,Consumer Electronics,Equity
500078,,OAL,ORIENTAL AROMATICS LTD,Active,B ,5.0,INE959C01023,Specialty Chemicals,Equity
500083,,CENTEXT,CENTURY EXTRUSIONS LTD,Active,B ,1.0,INE281A01026,Aluminium,Equity
500084,,CESC,CESC LTD,Active,A ,10.0,INE486A01013,Electric Utilities,Equity
500085,,CHAMBLFERT,CHAMBAL FERTILISERS  CHEMICALS LTD,Active,A ,10.0,INE085A01013,Fertilizers,Equity
500086,,EXIDEIND,EXIDE INDUSTRIES LTD,Active,A ,1.0,INE302A01020,Auto Parts & Equipment,Equity
500087,,CIPLA,CIPLA LTD,Active,A ,2.0,INE059A01026,Pharmaceuticals,Equity
500089,,DICIND,DIC INDIA LTD,Active,B ,10.0,INE303A01010,Specialty Chemicals,Equity
500092,,CRISIL,CRISIL LTD,Active,A ,1.0,INE007A01025,Other Financial Services,Equity
500093,,CGPOWER,CG POWER AND INDUSTRIAL SOLUTIONS LTD,Active,B ,2.0,INE067A01029,Heavy Electrical Equipment,Equity
500096,,DABUR,DABUR INDIA LTD,Active,A ,1.0,INE016A01026,Personal Products,Equity
500097,,DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LTD,Active,A ,2.0,INE495A01022,Sugar,Equity
500101,,ARVIND,ARVIND LTD,Active,A ,10.0,INE034A01011,Textiles,Equity
500102,,BALLARPUR,BALLARPUR INDUSTRIES LTD,Active,Z ,2.0,INE294A01037,Paper & Paper Products,Equity
500103,,BHEL,BHARAT HEAVY ELECTRICALS LTD,Active,A ,2.0,INE257A01026,Heavy Electrical Equipment,Equity
500104,,HINDPETRO*,HINDUSTAN PETROLEUM CORPORATION LTD,Active,A ,10.0,INE094A01015,Refineries/ Petro-Products,Equity
500106,,IFCI,IFCI LTD,Active,A ,10.0,INE039A01010,Financial Institutions,Equity
500108,,MTNL,MAHANAGAR TELEPHONE NIGAM LTD,Active,B ,10.0,INE153A01019,Telecom Services,Equity
500109,,MRPL,MANGALORE REFINERY  PETROCHEMICALS LTD,Active,A ,10.0,INE103A01014,Refineries/ Petro-Products,Equity
500110,,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD,Active,A ,10.0,INE178A01016,Refineries/ Petro-Products,Equity
500111,,RELCAPITAL,RELIANCE CAPITAL LTD,Active,B ,10.0,INE013A01015,Finance (including NBFCs),Equity
500112,,SBIN,STATE BANK OF INDIA,Active,A ,1.0,INE062A01020,Banks,Equity
500113,,SAIL,STEEL AUTHORITY OF INDIA LTD,Active,A ,10.0,INE114A01011,Iron & Steel/Interm.Products,Equity
500114,,TITAN,TITAN COMPANY LIMITED,Active,A ,1.0,INE280A01028,Other Apparels & Accessories,Equity
500116,,IDBI,IDBI BANK LTD,Active,A ,10.0,INE008A01015,Banks,Equity
500117,,DCW,DCW LTD,Active,B ,2.0,INE500A01029,Petrochemicals,Equity
500119,,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD,Active,A ,10.0,INE041A01016,Sugar,Equity
500120,,DIAMINESQ,DIAMINES  CHEMICALS LTD,Active,X ,10.0,INE591D01014,Specialty Chemicals,Equity
500123,,ELANTAS,ELANTAS BECK INDIA LTD,Active,A ,10.0,INE280B01018,Commodity Chemicals,Equity
500124,,DRREDDY,DRREDDYS LABORATORIES LTD,Active,A ,5.0,INE089A01023,Pharmaceuticals,Equity
500125,,EIDPARRY,EIDPARRY INDIA LTD,Active,A ,1.0,INE126A01031,Sugar,Equity
500126,,PGHL,PROCTER  GAMBLE HEALTH LTD,Active,A ,10.0,INE199A01012,Pharmaceuticals,Equity
500128,,ELECTCAST,ELECTROSTEEL CASTINGS LTD,Active,B ,1.0,INE086A01029,Construction & Engineering,Equity
500133,,ESABINDIA,ESAB INDIA LTD,Active,A ,10.0,INE284A01012,Other Industrial Goods,Equity
500135,,EPL,EPL LTD,Active,A ,2.0,INE255A01020,Containers & Packaging,Equity
500136,,ESTER,ESTER INDUSTRIES LTD,Active,B ,5.0,INE778B01029,Containers & Packaging,Equity
500143,,PHCAP,PH CAPITAL LTD,Active,X ,10.0,INE160F01013,Comm.Trading  & Distribution,Equity
500144,,FINCABLES,FINOLEX CABLES LTD,Active,A ,2.0,INE235A01022,Other Elect.Equip./ Prod.,Equity
500147,,COCKERILL,JOHN COCKERILL INDIA LTD,Active,X ,10.0,INE515A01019,Industrial Machinery,Equity
500148,,UFLEX,UFLEX LTD,Active,A ,10.0,INE516A01017,Containers & Packaging,Equity
500150,,FOSECOIND,FOSECO INDIA LTD,Active,B ,10.0,INE519A01011,Commodity Chemicals,Equity
500151,,GOLDENTOBC,GOLDEN TOBACCO LTD,Active,B ,10.0,INE973A01010,Cigarettes-Tobacco Products,Equity
500153,,GANESHBE,GANESH BENZOPLAST LTD,Active,X ,1.0,INE388A01029,Commodity Chemicals,Equity
500159,,METROGLOBL,METROGLOBAL LIMITED,Active,X ,10.0,INE085D01033,Paper & Paper Products,Equity
500160,,GTL,GTL LTD,Active,B ,10.0,INE043A01012,Other Telecom Services,Equity
500163,,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD,Active,A ,2.0,INE260B01028,Cigarettes-Tobacco Products,Equity
500164,,GODREJIND,GODREJ INDUSTRIES LTD,Active,A ,1.0,INE233A01035,Commodity Chemicals,Equity
500165,,KANSAINER,KANSAI NEROLAC PAINTS LTD,Active,A ,1.0,INE531A01024,Furniture-Furnishing-Paints,Equity
500166,,GOODRICKE,GOODRICKE GROUP LTD,Active,X ,10.0,INE300A01016,Tea & Coffee,Equity
500168,,GOODYEAR,GOODYEAR INDIA LTD,Active,A ,10.0,INE533A01012,Auto Tyres & Rubber Products,Equity
500170,,GTNINDS,GTN INDUSTRIES LTD,Active,B ,10.0,INE537A01013,Textiles,Equity
500171,,GHCL,GHCL LTD,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity
500173,,GFLLIMITED,GFL LTD,Active,A ,1.0,INE538A01037,Industrial Gases,Equity
500174,,GLFL,GUJARAT LEASE FINANCING LTD,Active,B ,10.0,INE540A01017,Finance (including NBFCs),Equity
500179,,HCL-INSYS,HCL INFOSYSTEMS LTD,Active,B ,2.0,INE236A01020,Computer Hardware,Equity
500180,,HDFCBANK,HDFC BANK LTD,Active,A ,1.0,INE040A01034,Banks,Equity
500182,,HEROMOTOCO,HERO MOTOCORP LTD,Active,A ,2.0,INE158A01026,2/3 Wheelers,Equity
500183,,HFCL,HFCL LTD,Active,A ,1.0,INE548A01028,Telecom Cables,Equity
500184,,HSCL,HIMADRI SPECIALITY CHEMICAL LTD,Active,A ,1.0,INE019C01026,Specialty Chemicals,Equity
500185,,HCC,HINDUSTAN CONSTRUCTION COLTD,Active,A ,1.0,INE549A01026,Construction & Engineering,Equity
500186,,HINDOILEXP,HINDUSTAN OIL EXPLORATION COLTD,Active,A ,10.0,INE345A01011,Exploration & Production,Equity
500187,,HSIL,HSIL LTD,Active,B ,2.0,INE415A01038,Containers & Packaging,Equity
500188,,HINDZINC,HINDUSTAN ZINC LTD,Active,A ,2.0,INE267A01025,Zinc,Equity
500189,,NXTDIGITAL,NXTDIGITAL LTD,Active,B ,10.0,INE353A01023,Broadcasting & Cable TV,Equity
500191,,HMT,HMT LTD,Active,Z ,10.0,INE262A01018,Commercial Vehicles,Equity
500192,,PRAGBOS,PRAG BOSIMI SYNTHETICS LTD,Active,XT,10.0,INE962B01011,Textiles,Equity
500193,,HLVLTD,HLV LTD,Active,B ,2.0,INE102A01024,Hotels,Equity
500199,,IGPL,I G PETROCHEMICALS LTD,Active,B ,10.0,INE204A01010,Commodity Chemicals,Equity
500201,,INDIAGLYCO,INDIA GLYCOLS LTD,Active,A ,10.0,INE560A01015,Commodity Chemicals,Equity
500202,,INDLEASE,INDIA LEASE DEVELOPMENT LTD,Active,X ,10.0,INE333C01013,Finance (including NBFCs),Equity
500206,,MARGOFIN,MARGO FINANCE LIMITED,Active,X ,10.0,INE680B01019,Finance (including NBFCs),Equity
500207,,INDORAMA,INDO RAMA SYNTHETICS INDIA LTD,Active,B ,10.0,INE156A01020,Textiles,Equity
500209,,INFY,INFOSYS LTD,Active,A ,5.0,INE009A01021,IT Consulting & Software,Equity
500210,,INGERRAND,INGERSOLLRAND INDIA LTD,Active,A ,10.0,INE177A01018,Industrial Machinery,Equity
500211,,INSILCO,INSILCO LTD,Active,X ,10.0,INE901A01011,Other Industrial Goods,Equity
500212,,IFSL,INTEGRATED FINANCIAL SERVICES LTD,Active,XT,10.0,INE898B01017,Finance (including NBFCs),Equity
500213,,ITHL,INTERNATIONAL TRAVEL HOUSE LTD,Active,X ,10.0,INE262B01016,Travel Support Services,Equity
500214,,IONEXCHANG,ION EXCHANGE INDIA LTD,Active,A ,10.0,INE570A01014,Industrial Machinery,Equity
500215,,ATFL,AGRO TECH FOODS LTD,Active,A ,10.0,INE209A01019,Other Agricultural Products,Equity
500219,,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD,Active,A ,2.0,INE175A01038,Plastic Products,Equity
500220,,JASCH,JASCH INDUSTRIES LTD,Active,X ,10.0,INE711C01010,Textiles,Equity
500223,,JCTLTD,JCT LTD,Active,X ,2.5,INE945A01026,Textiles,Equity
500227,,JINDALPOLY,JINDAL POLY FILMS LTD,Active,A ,10.0,INE197D01010,Containers & Packaging,Equity
500228,,JSWSTEEL,JSW STEEL LTD,Active,A ,1.0,INE019A01038,Iron & Steel/Interm.Products,Equity
500231,,UMANGDAIR,UMANG DAIRIES LTD,Active,B ,5.0,INE864B01027,Packaged Foods,Equity
500233,,KAJARIACER,KAJARIA CERAMICS LTD,Active,A ,1.0,INE217B01036,Furniture-Furnishing-Paints,Equity
500234,,KAKATCEM,KAKATIYA CEMENT SUGAR  INDUSTRIES LTD,Active,B ,10.0,INE437B01014,Cement & Cement Products,Equity
500235,,KSL,KALYANI STEELS LTD,Active,A ,5.0,INE907A01026,Iron & Steel/Interm.Products,Equity
500236,,KANELIND,KANEL INDUSTRIES LIMITED,Active,XT,10.0,INE252C01015,Comm.Trading  & Distribution,Equity
500238,,WHIRLPOOL,WHIRLPOOL OF INDIA LTD,Active,A ,10.0,INE716A01013,Consumer Electronics,Equity
500239,,KGDENIM,KG DENIM LTD,Active,X ,10.0,INE104A01012,Textiles,Equity
500240,,KINETICENG,KINETIC ENGINEERING LTD,Active,XT,10.0,INE266B01017,2/3 Wheelers,Equity
500241,,KIRLOSBROS,KIRLOSKAR BROTHERS LTD,Active,B ,2.0,INE732A01036,Industrial Machinery,Equity
500243,,KIRLOSIND,KIRLOSKAR INDUSTRIES LTD,Active,B ,10.0,INE250A01039,Industrial Machinery,Equity
500245,,KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD,Active,B ,5.0,INE884B01025,Iron & Steel/Interm.Products,Equity
500246,,ENVAIREL,ENVAIR ELECTRODYNE LTD,Active,XT,10.0,INE601C01013,Industrial Machinery,Equity
500247,,KOTAKBANK,KOTAK MAHINDRA BANK LTD,Active,A ,5.0,INE237A01028,Banks,Equity
500248,,KRIFILIND,KRISHNA FILAMENT INDUSTRIES LTD,Active,XT,10.0,INE073A01019,Plastic Products,Equity
500249,,KSB,KSB LTD,Active,A ,10.0,INE999A01015,Industrial Machinery,Equity
500250,,LGBBROSLTD,LGBALAKRISHNAN  BROSLTD,Active,A ,10.0,INE337A01034,Auto Parts & Equipment,Equity
500251,,TRENT,TRENT LTD,Active,A ,1.0,INE849A01020,Specialty Retail,Equity
500252,,LAXMIMACH,LAKSHMI MACHINE WORKS LTD,Active,A ,10.0,INE269B01029,Industrial Machinery,Equity
500253,,LICHSGFIN,LIC HOUSING FINANCE LTD,Active,A ,2.0,INE115A01026,Housing Finance ,Equity
500257,,LUPIN,LUPIN LTD,Active,A ,2.0,INE326A01037,Pharmaceuticals,Equity
500259,,LYKALABS,LYKA LABS LTD,Active,T ,10.0,INE933A01014,Pharmaceuticals,Equity
500260,,RAMCOCEM,THE RAMCO CEMENTS LIMITED,Active,A ,1.0,INE331A01037,Cement & Cement Products,Equity
500264,,MAFATIND,MAFATLAL INDUSTRIES LTD,Active,X ,10.0,INE270B01027,Textiles,Equity
500265,,MAHSEAMLES,MAHARASHTRA SEAMLESS LTD,Active,A ,5.0,INE271B01025,Construction & Engineering,Equity
500266,,MAHSCOOTER,MAHARASHTRA SCOOTERS LTD,Active,A ,10.0,INE288A01013,Investment Companies,Equity
500267,,MAJESAUT,MAJESTIC AUTO LTD,Active,X ,10.0,INE201B01022,2/3 Wheelers,Equity
500268,,MANALIPETC,MANALI PETROCHEMICAL LTD,Active,B ,5.0,INE201A01024,Petrochemicals,Equity
500271,,MFSL,MAX FINANCIAL SERVICES LTD,Active,A ,2.0,INE180A01020,Life Insurance,Equity
500274,,MESPHAR-B,MESCO PHARMACEUTICALS LTD,Active,P ,10.0,INE839X01015,Pharmaceuticals,Equity
500277,,MIDINDIA,MID INDIA INDUSTRIES LTD,Active,XT,10.0,INE401C01018,Textiles,Equity
500279,,MIRCELECTR,MIRC ELECTRONICS LTD,Active,T ,1.0,INE831A01028,Consumer Electronics,Equity
500280,,CENTENKA,CENTURY ENKA LTD,Active,B ,10.0,INE485A01015,Textiles,Equity
500284,,LORDSCHLO,LORDS CHLORO ALKALI LTD,Active,X ,10.0,INE846D01012,Commodity Chemicals,Equity
500285,,SPICEJET,SPICEJET LTD,Active,A ,10.0,INE285B01017,Airlines,Equity
500288,,MOREPENLAB,MOREPEN LABORATORIES LTD,Active,A ,2.0,INE083A01026,Pharmaceuticals,Equity
500290,,MRF,MRF LTD,Active,A ,10.0,INE883A01011,Auto Tyres & Rubber Products,Equity
500292,,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD,Active,A ,10.0,INE578A01017,Cement & Cement Products,Equity
500294,,NCC,NCC LIMITED,Active,A ,2.0,INE868B01028,Construction & Engineering,Equity
500295,,VEDL,VEDANTA LIMITED,Active,A ,1.0,INE205A01025,Aluminium,Equity
500296,,NAHARSPING,NAHAR SPINNING MILLS LTD,Active,B ,5.0,INE290A01027,Textiles,Equity
500298,,NATPEROX,NATIONAL PEROXIDE LTD,Active,A ,10.0,INE585A01020,Commodity Chemicals,Equity
500300,,GRASIM,GRASIM INDUSTRIES LTD,Active,A ,2.0,INE047A01021,Cement & Cement Products,Equity
500302,,PEL,PIRAMAL ENTERPRISES LTD,Active,A ,2.0,INE140A01024,Other Financial Services,Equity
500304,,NIITLTD,NIIT LTD,Active,A ,2.0,INE161A01038,IT Training Services,Equity
500306,,JAYKAY,JAYKAY ENTERPRISES LTD,Active,XT,1.0,INE903A01025,Finance (including NBFCs),Equity
500307,,NIRLON,NIRLON LTD,Active,A ,10.0,INE910A01012,Misc.Commercial Services,Equity
500312,,ONGC,OIL AND NATURAL GAS CORPORATION LTD,Active,A ,5.0,INE213A01029,Exploration & Production,Equity
500313,,OILCOUNTUB,OIL COUNTRY TUBULAR LTD,Active,T ,10.0,INE591A01010,Oil Equipment & Services,Equity
500314,,ORIENTHOT,ORIENTAL HOTELS LTD,Active,B ,1.0,INE750A01020,Hotels,Equity
500317,,OSWALAGRO,OSWAL AGRO MILLS LTD,Active,B ,10.0,INE142A01012,Investment Companies,Equity
500319,,INDSUCR,INDIAN SUCROSE LTD,Active,X ,10.0,INE557C01017,Sugar,Equity
500325,,RELIANCE,RELIANCE INDUSTRIES LTD,Active,A ,10.0,INE002A01018,Integrated Oil & Gas,Equity
500327,,PILITA,PIL ITALICA LIFESTYLE LTD,Active,B ,1.0,INE600A01035,Plastic Products,Equity
500330,,RAYMOND,RAYMOND LTD,Active,A ,10.0,INE301A01014,Textiles,Equity
500331,,PIDILITIND,PIDILITE INDUSTRIES LTD,Active,A ,1.0,INE318A01026,Specialty Chemicals,Equity
500333,,PIXTRANS,PIX TRANSMISSIONS LTD,Active,X ,10.0,INE751B01018,Auto Tyres & Rubber Products,Equity
500335,,BIRLACORPN,BIRLA CORPORATION LTD,Active,A ,10.0,INE340A01012,Cement & Cement Products,Equity
500336,,SURYAROSNI,SURYA ROSHNI LTD,Active,A ,10.0,INE335A01012,Diversified,Equity
500337,,PRIMESECU,PRIME SECURITIES LTD,Active,B ,5.0,INE032B01021,Other Financial Services,Equity
500338,,PRSMJOHNSN,PRISM JOHNSON LTD,Active,A ,10.0,INE010A01011,Cement & Cement Products,Equity
500339,,RAIN,RAIN INDUSTRIES LTD,Active,A ,2.0,INE855B01025,Petrochemicals,Equity
500343,,AMJLAND,AMJ LAND HOLDINGS LTD,Active,B ,2.0,INE606A01024,Realty,Equity
500346,,PUNJCOMMU,PUNJAB COMMUNICATIONS LTD,Active,B ,10.0,INE609A01010,Telecom Equipment,Equity
500350,,RSWM,RSWM LTD,Active,B ,10.0,INE611A01016,Textiles,Equity
500354,,RAJSREESUG,RAJSHREE SUGARS  CHEMICALS LTD,Active,B ,10.0,INE562B01019,Sugar,Equity
500355,,RALLIS,RALLIS INDIA LTD,Active,A ,1.0,INE613A01020,Agrochemicals,Equity
500356,,RAMANEWS,SHREE RAMA NEWSPRINT LTD,Active,B ,10.0,INE278B01020,Paper & Paper Products,Equity
500357,,RAMAPPR-B,RAMA PAPER MILLS LTD,Active,XT,10.0,INE425E01013,Paper & Paper Products,Equity
500358,,RAMAPETRO,RAMA PETROCHEMICALS LTD,Active,XT,10.0,INE783A01013,Finance (including NBFCs),Equity
500360,,RAPICUT,RAPICUT CARBIDES LTD,Active,X ,10.0,INE350D01015,Industrial Machinery,Equity
500365,,WELSPLSOL,WELSPUN SPECIALTY SOLUTIONS LTD,Active,X ,6.0,INE731F01037,Iron & Steel/Interm.Products,Equity
500366,,ROLTA,ROLTA INDIA LTD,Active,B ,10.0,INE293A01013,Internet Software & Services,Equity
500367,,RUBFILA,RUBFILA INTERNATIONAL LTD,Active,X ,5.0,INE642C01025,Auto Tyres & Rubber Products,Equity
500368,,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD,Active,B ,2.0,INE619A01035,Edible Oils,Equity
500370,,SALORAINTL,SALORA INTERNATIONAL LTD,Active,XT,10.0,INE924A01013,Comm.Trading  & Distribution,Equity
500378,,JINDALSAW,JINDAL SAW LTD,Active,A ,2.0,INE324A01024,Construction & Engineering,Equity
500380,,JKLAKSHMI,JK LAKSHMI CEMENT LTD,Active,A ,5.0,INE786A01032,Cement & Cement Products,Equity
500387,,SHREECEM,SHREE CEMENT LTD,Active,A ,10.0,INE070A01015,Cement & Cement Products,Equity
500388,,SKPMIL,SHREE KRISHNA PAPER MILLS  INDUSTRIES LTD,Active,XT,10.0,INE970C01012,Paper & Paper Products,Equity
500390,,RELINFRA,RELIANCE INFRASTRUCTURE LTD,Active,A ,10.0,INE036A01016,Electric Utilities,Equity
500400,,TATAPOWER,TATA POWER COLTD,Active,A ,1.0,INE245A01021,Electric Utilities,Equity
500402,,SPMLINFRA,SPML INFRA LIMITED,Active,B ,2.0,INE937A01023,Construction & Engineering,Equity
500403,,SUNDRMFAST,SUNDRAM FASTENERS LTD,Active,A ,1.0,INE387A01021,Auto Parts & Equipment,Equity
500404,,SUNFLAG,SUNFLAG IRON  STEEL COLTD,Active,A ,10.0,INE947A01014,Iron & Steel/Interm.Products,Equity
500405,,SUPPETRO,SUPREME PETROCHEM LTD,Active,A ,10.0,INE663A01017,Petrochemicals,Equity
500407,,SWARAJENG,SWARAJ ENGINES LTD,Active,A ,10.0,INE277A01016,Auto Parts & Equipment,Equity
500408,,TATAELXSI,TATA ELXSI LTD,Active,A ,10.0,INE670A01012,IT Software Products,Equity
500410,,ACC,ACC LTD,Active,A ,10.0,INE012A01025,Cement & Cement Products,Equity
500411,,THERMAX,THERMAX LTD,Active,A ,2.0,INE152A01029,Heavy Electrical Equipment,Equity
500412,,TIRUMALCHM,THIRUMALAI CHEMICALS LTD,Active,A ,1.0,INE338A01024,Commodity Chemicals,Equity
500413,,THOMASCOOK,THOMAS COOK INDIA LTD,Active,A ,1.0,INE332A01027,Travel Support Services,Equity
500414,,TIMEX,TIMEX GROUP INDIA LTD,Active,X ,1.0,INE064A01026,Other Apparels & Accessories,Equity
500418,,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD,Active,B ,10.0,INE932C01012,Plastic Products,Equity
500420,,TORNTPHARM,TORRENT PHARMACEUTICALS LTD,Active,A ,5.0,INE685A01028,Pharmaceuticals,Equity
500422,,TRANSCHEM,TRANSCHEM LTD,Active,X ,10.0,INE019B01010,Pharmaceuticals,Equity
500425,,AMBUJACEM,AMBUJA CEMENTS LTD,Active,A ,2.0,INE079A01024,Cement & Cement Products,Equity
500426,,UTLINDS,UTL INDUSTRIES LIMITED,Active,XT,1.0,INE184E01024,Realty,Equity
500429,,UNIPHOS,UNIPHOS ENTERPRISES LTD,Active,B ,2.0,INE037A01022,Comm.Trading  & Distribution,Equity
500439,,VHL,VARDHMAN HOLDINGS LTD,Active,B ,10.0,INE701A01023,Finance (including NBFCs),Equity
500440,,HINDALCO,HINDALCO INDUSTRIES LTD,Active,A ,1.0,INE038A01020,Aluminium,Equity
500444,,WSTCSTPAPR,WEST COAST PAPER MILLS LTD,Active,A ,2.0,INE976A01021,Paper & Paper Products,Equity
500449,,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD,Active,T ,10.0,INE048A01011,Commodity Chemicals,Equity
500450,,MPILCORPL,MPIL CORPORATION LTD,Active,X ,10.0,INE844C01027,Other Financial Services,Equity
500456,,PASUPTAC,PASUPATI ACRYLON LTD,Active,X ,10.0,INE818B01023,Fibres & Plastics,Equity
500458,,KORE,KORE FOODS LTD,Active,XT,10.0,INE601A01017,Other Food Products,Equity
500459,,PGHH,PROCTER  GAMBLE HYGIENE  HEALTH CARE LTD,Active,A ,10.0,INE179A01014,Personal Products,Equity
500460,,MUKANDLTD,MUKAND LTD,Active,B ,10.0,INE304A01026,Iron & Steel/Interm.Products,Equity
500463,,AGCNET,AGC NETWORKS LIMITED,Active,B ,10.0,INE676A01019,IT Consulting & Software,Equity
500464,,UCALFUEL,UCAL FUEL SYSTEMS LTD,Active,B ,10.0,INE139B01016,Auto Parts & Equipment,Equity
500467,,HARRMALAYA,HARRISONS MALAYALAM LTD,Active,B ,10.0,INE544A01019,Auto Tyres & Rubber Products,Equity
500469,,FEDERALBNK,FEDERAL BANK LTD,Active,A ,2.0,INE171A01029,Banks,Equity
500470,,TATASTEEL,TATA STEEL LTD,Active,A ,10.0,INE081A01012,Iron & Steel/Interm.Products,Equity
500472,,SKFINDIA,SKF INDIA LTD,Active,A ,10.0,INE640A01023,Other Industrial Goods,Equity
500477,,ASHOKLEY,ASHOK LEYLAND LTD,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity
500480,,CUMMINSIND,CUMMINS INDIA LTD,Active,A ,2.0,INE298A01020,Industrial Machinery,Equity
500483,,TATACOMM,TATA COMMUNICATIONS LTD,Active,A ,10.0,INE151A01013,Telecom - Alternate Carriers,Equity
500488,,ABBOTINDIA,ABBOTT INDIA LTD,Active,A ,10.0,INE358A01014,Pharmaceuticals,Equity
500490,,BAJAJHLDNG,BAJAJ HOLDINGS  INVESTMENT LTD,Active,A ,10.0,INE118A01012,Holding Companies,Equity
500493,,BHARATFORG,BHARAT FORGE LTD,Active,A ,2.0,INE465A01025,Other Industrial Products,Equity
500495,,ESCORTS,ESCORTS LTD,Active,A ,10.0,INE042A01014,Commercial Vehicles,Equity
500500,,HINDMOTORS,HINDUSTAN MOTORS LTD,Active,T ,5.0,INE253A01025,Cars & Utility Vehicles,Equity
500510,,LT,LARSEN  TOUBRO LTD,Active,A ,2.0,INE018A01030,Construction & Engineering,Equity
500520,,M&M,MAHINDRA  MAHINDRA LTD,Active,A ,5.0,INE101A01026,Cars & Utility Vehicles,Equity
500530,,BOSCHLTD,BOSCH LTD,Active,A ,10.0,INE323A01026,Auto Parts & Equipment,Equity
500540,,PREMIER,PREMIER LTD,Active,T ,10.0,INE342A01018,Industrial Machinery,Equity
